nct_id,group_id,period_index,period_title,flow_title,protocol_label,arm_type,started,completed,noncompleted,attrition,count_valid,reason_sum,reason_reconciles,qc_flags
NCT01441440,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,183,166,17,0.09289617486338797,True,17,True,
NCT01441440,FG001,0,Overall Study,Venlafaxine 75 mg/Day Fixed,,,174,151,23,0.13218390804597702,True,23,True,
NCT01441440,FG002,0,Overall Study,Venlafaxine 75-225 mg/Day Flexible,,,180,158,22,0.12222222222222223,True,22,True,
NCT01469377,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,269,234,35,0.13011152416356875,True,35,True,
NCT01469377,FG001,0,Overall Study,Cariprazine 1-2 mg,Cariprazine 1-2 mg,EXPERIMENTAL,274,226,48,0.17518248175182483,True,48,True,
NCT01469377,FG002,0,Overall Study,Cariprazine 2-4.5 mg,Cariprazine 2-4.5 mg,EXPERIMENTAL,276,210,66,0.23913043478260865,True,66,True,
NCT01482221,FG000,0,Overall Study,AZD6765 50 mg,,,101,80,21,0.20792079207920788,True,21,True,
NCT01482221,FG001,0,Overall Study,AZD6765 100 mg,,,101,81,20,0.19801980198019797,True,20,True,
NCT01482221,FG002,0,Overall Study,Placebo,,,100,77,23,0.22999999999999998,True,23,True,
NCT01488071,FG000,0,Overall Study,Vortioxetine 10 mg or 20 mg,Vortioxetine 10 mg or 20 mg,EXPERIMENTAL,253,200,53,0.20948616600790515,True,53,True,
NCT01488071,FG001,0,Overall Study,Agomelatine 25 mg or 50 mg,Agomelatine 25 mg or 50 mg,ACTIVE_COMPARATOR,242,179,63,0.2603305785123967,True,63,True,
NCT01558063,FG000,0,Overall Study,Ketamine Dose 1,Ketamine Dose 1,ACTIVE_COMPARATOR,5,5,0,0.0,True,,,
NCT01558063,FG001,0,Overall Study,Ketamine Dose 2,Ketamine Dose 2,ACTIVE_COMPARATOR,6,6,0,0.0,True,,,
NCT01558063,FG002,0,Overall Study,Ketamine Dose 3,Ketamine Dose 3,ACTIVE_COMPARATOR,8,8,0,0.0,True,,,
NCT01558063,FG003,0,Overall Study,Ketamine Dose 4,Ketamine Dose 4,ACTIVE_COMPARATOR,5,5,0,0.0,True,,,
NCT01558063,FG004,0,Overall Study,Ketamine Dose 5,Ketamine Dose 5,ACTIVE_COMPARATOR,9,9,0,0.0,True,,,
NCT01558063,FG005,0,Overall Study,Saline Solution,Saline Solution,PLACEBO_COMPARATOR,5,5,0,0.0,True,,,
NCT01564862,FG000,0,Overall Study,Vortioxetine (Lu AA21004),,,198,168,30,0.1515151515151515,True,30,True,
NCT01564862,FG001,0,Overall Study,Duloxetine,,,210,176,34,0.16190476190476188,True,34,True,
NCT01564862,FG002,0,Overall Study,Placebo,,,194,164,30,0.15463917525773196,True,30,True,
NCT01571453,FG000,0,Overall Study,Vortioxetine,,,211,173,38,0.1800947867298578,True,38,True,
NCT01571453,FG001,0,Overall Study,Venlafaxine,,,226,164,62,0.2743362831858407,True,62,True,
NCT01625845,FG000,0,Overall Study,Pentoxifylline + Standard Treatment,Pentoxifylline + Standard Treatment,EXPERIMENTAL,10,5,5,0.5,True,5,True,
NCT01625845,FG001,0,Overall Study,Placebo + Standard Treatment,Placebo + Standard Treatment,PLACEBO_COMPARATOR,6,3,3,0.5,True,3,True,
NCT01627782,FG000,0,Overall Study,Placebo: 2 Times Per Week,,,17,1,16,0.9411764705882353,True,16,True,
NCT01627782,FG001,0,Overall Study,Ketamine: 2 Times Per Week,,,18,12,6,0.33333333333333337,True,6,True,
NCT01627782,FG002,0,Overall Study,Placebo: 3 Times Per Week,,,16,1,15,0.9375,True,15,True,
NCT01627782,FG003,0,Overall Study,Ketamine: 3 Times Per Week,,,17,11,6,0.3529411764705882,True,6,True,
NCT01725282,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,44,42,2,0.045454545454545414,True,2,True,
NCT01725282,FG001,0,Overall Study,Quetiapine 50 mg,Quetiapine 50 mg,EXPERIMENTAL,44,39,5,0.11363636363636365,True,5,True,
